Date,Open,High,Low,Close,Adj Close,Volume
2010-01-12,73.000000,74.000000,70.000000,73.000000,42.280361,371270000
2010-01-13,72.000000,73.000000,70.000000,72.000000,41.701176,8550000
2010-01-14,70.000000,72.000000,70.000000,70.000000,40.542809,5755000
2010-01-15,63.000000,71.000000,63.000000,63.000000,36.488525,3315000
2010-01-18,63.000000,63.000000,63.000000,63.000000,36.488525,0
2010-01-19,64.000000,64.000000,57.000000,64.000000,37.067711,5805000
2010-01-20,61.000000,64.000000,59.000000,61.000000,35.330158,690000
2010-01-21,57.000000,61.000000,57.000000,57.000000,33.013428,2320000
2010-01-22,55.000000,60.000000,50.000000,55.000000,31.855059,980000
2010-01-25,57.000000,57.000000,55.000000,57.000000,33.013428,265000
2010-01-26,57.000000,57.000000,57.000000,57.000000,33.013428,0
2010-01-27,57.000000,57.000000,52.000000,57.000000,33.013428,420000
2010-01-28,60.000000,60.000000,56.000000,60.000000,34.750977,215000
2010-01-29,58.000000,58.000000,52.000000,58.000000,33.592617,1055000
2010-02-01,58.000000,58.000000,58.000000,58.000000,33.592617,1055000
2010-02-02,60.000000,60.000000,57.000000,60.000000,34.750977,1150000
2010-02-03,59.000000,59.000000,54.000000,59.000000,34.171795,175000
2010-02-04,54.000000,56.000000,54.000000,54.000000,31.275877,610000
2010-02-05,56.000000,56.000000,52.000000,56.000000,32.434246,680000
2010-02-08,52.000000,56.000000,52.000000,52.000000,30.117514,30000
2010-02-09,51.000000,55.000000,50.000000,51.000000,29.538334,560000
2010-02-10,52.000000,54.000000,52.000000,52.000000,30.117514,270000
2010-02-11,52.000000,54.000000,51.000000,52.000000,30.117514,2725000
2010-02-12,54.000000,54.000000,52.000000,54.000000,31.275877,2440000
2010-02-15,54.000000,54.000000,54.000000,54.000000,31.275877,250000
2010-02-16,52.000000,52.000000,52.000000,52.000000,30.117514,125000
2010-02-17,53.000000,53.000000,53.000000,53.000000,30.696699,370000
2010-02-18,53.000000,54.000000,53.000000,53.000000,30.696699,420000
2010-02-19,53.000000,53.000000,53.000000,53.000000,30.696699,420000
2010-02-22,53.000000,53.000000,53.000000,53.000000,30.696699,420000
2010-02-23,53.000000,53.000000,51.000000,53.000000,30.696699,1560000
2010-02-24,50.000000,51.000000,50.000000,50.000000,28.959154,365000
2010-02-25,50.000000,51.000000,50.000000,50.000000,28.959154,305000
2010-03-01,50.000000,50.000000,50.000000,50.000000,28.959154,505000
2010-03-02,50.000000,50.000000,48.000000,50.000000,28.959154,110000
2010-03-03,52.000000,52.000000,48.000000,52.000000,30.117514,275000
2010-03-04,53.000000,53.000000,50.000000,53.000000,30.696699,2280000
2010-03-05,50.000000,50.000000,50.000000,50.000000,28.959154,125000
2010-03-08,50.000000,50.000000,50.000000,50.000000,28.959154,195000
2010-03-09,50.000000,51.000000,50.000000,50.000000,28.959154,520000
2010-03-10,50.000000,50.000000,49.000000,50.000000,28.959154,550000
2010-03-11,52.000000,52.000000,49.000000,52.000000,30.117514,590000
2010-03-12,49.000000,50.000000,49.000000,49.000000,28.379957,535000
2010-03-15,49.500000,50.000000,49.500000,49.500000,28.669556,270000
2010-03-17,49.000000,51.000000,49.000000,49.000000,28.379957,1200000
2010-03-18,50.000000,51.000000,49.500000,50.000000,28.959154,630000
2010-03-19,49.500000,50.000000,49.000000,49.500000,28.669556,1245000
2010-03-22,49.000000,49.000000,49.000000,49.000000,28.379957,10000
2010-03-23,52.000000,52.000000,48.000000,52.000000,30.117514,150000
2010-03-24,51.000000,52.000000,49.000000,51.000000,29.538334,1070000
2010-03-25,50.000000,51.000000,50.000000,50.000000,28.959154,245000
2010-03-26,50.000000,50.000000,50.000000,50.000000,28.959154,920000
2010-03-29,54.000000,54.000000,50.000000,54.000000,31.275877,2700000
2010-03-30,53.000000,54.000000,51.000000,53.000000,30.696699,635000
2010-03-31,57.000000,57.000000,53.000000,57.000000,33.013428,2215000
2010-04-01,58.000000,58.000000,57.000000,58.000000,33.592617,90000
2010-04-05,58.000000,58.000000,58.000000,58.000000,33.592617,0
