Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,85.500000,87.000000,80.000000,87.000000,78.240860,202226400
2017-07-04,87.000000,88.000000,81.500000,83.000000,74.643578,197477200
2017-07-05,83.000000,87.500000,82.500000,86.500000,77.791191,110545200
2017-07-06,86.500000,93.000000,85.500000,91.000000,81.838135,294411600
2017-07-07,91.500000,93.000000,88.500000,89.000000,80.039490,71145600
2017-07-10,90.000000,95.000000,86.000000,89.000000,80.039490,42704800
2017-07-11,89.000000,89.000000,86.000000,86.500000,77.791191,21654000
2017-07-12,86.500000,89.000000,84.500000,89.000000,80.039490,34610000
2017-07-13,88.500000,89.000000,85.000000,88.000000,79.140175,31828000
2017-07-14,88.000000,88.500000,86.000000,87.000000,78.240860,14915600
2017-07-17,87.000000,89.000000,86.500000,87.500000,78.690514,33879600
2017-07-18,87.500000,100.500000,87.500000,97.000000,87.234055,400430800
2017-07-19,97.500000,99.500000,94.000000,98.000000,88.133377,70292000
2017-07-20,98.000000,102.000000,97.000000,101.000000,90.831337,253573600
2017-07-21,100.500000,114.000000,98.000000,103.500000,93.079636,336040000
2017-07-24,100.000000,103.500000,91.500000,96.000000,86.334732,436258000
2017-07-25,96.000000,99.000000,93.000000,93.500000,84.086441,69215600
2017-07-26,93.500000,95.500000,90.500000,92.500000,83.187111,77538000
2017-07-27,93.000000,95.000000,91.500000,95.000000,85.435410,57244800
2017-07-28,95.000000,102.500000,93.500000,100.000000,89.932014,207603200
2017-07-31,101.000000,104.000000,99.500000,100.500000,90.381676,110602000
2017-08-01,100.000000,100.500000,98.000000,98.000000,88.133377,21615600
2017-08-02,96.000000,97.500000,93.500000,96.000000,86.334732,39740400
2017-08-03,96.000000,97.000000,94.500000,96.500000,86.784393,25502000
2017-08-04,97.000000,97.000000,93.000000,93.500000,84.086441,53718800
2017-08-07,93.500000,96.000000,92.000000,93.000000,83.636772,61099600
2017-08-08,93.000000,93.500000,90.500000,93.500000,84.086441,40912400
2017-08-09,93.500000,95.000000,92.000000,93.500000,84.086441,26008000
2017-08-10,93.000000,93.500000,88.500000,91.000000,81.838135,57274000
2017-08-11,91.000000,92.500000,88.500000,92.500000,83.187111,65988000
2017-08-14,92.500000,96.000000,92.500000,95.000000,85.435410,160577200
2017-08-15,95.000000,97.000000,94.500000,95.000000,85.435410,125022400
2017-08-16,95.000000,95.000000,92.000000,93.500000,84.086441,66474800
2017-08-17,93.500000,93.500000,93.500000,93.500000,84.086441,0
2017-08-18,93.500000,94.000000,91.000000,92.500000,83.187111,66077200
2017-08-21,92.500000,93.500000,91.500000,91.500000,82.287788,52635600
2017-08-22,92.500000,93.000000,91.500000,92.500000,83.187111,58730800
2017-08-23,92.500000,93.500000,91.000000,92.500000,83.187111,68233200
2017-08-24,92.000000,94.500000,70.000000,75.000000,67.449013,386698000
2017-08-25,75.500000,82.500000,75.500000,79.500000,71.495964,162536000
2017-08-28,79.500000,81.000000,77.000000,77.000000,69.247650,81486000
2017-08-29,77.500000,78.500000,76.500000,78.500000,70.596634,15345600
2017-08-30,78.500000,79.500000,77.500000,77.500000,69.697311,84438000
2017-08-31,77.500000,79.000000,77.000000,78.000000,70.146973,82951600
2017-09-01,78.000000,78.000000,78.000000,78.000000,70.146973,0
2017-09-04,78.000000,78.500000,72.500000,75.000000,67.449013,23224000
2017-09-05,75.000000,75.500000,72.500000,72.500000,65.200706,12241200
2017-09-06,73.000000,73.500000,71.500000,72.000000,64.751053,24954800
2017-09-07,72.000000,76.000000,71.500000,72.000000,64.751053,40859600
2017-09-08,72.500000,73.500000,70.500000,72.500000,65.200706,18966400
2017-09-11,73.500000,75.000000,73.000000,74.500000,66.999352,9784000
2017-09-12,74.500000,74.500000,71.500000,72.000000,64.751053,11006800
2017-09-13,72.000000,74.000000,72.000000,72.000000,64.751053,80197200
2017-09-14,72.000000,73.000000,67.500000,71.000000,63.851730,38146400
2017-09-15,71.500000,72.500000,69.500000,70.000000,62.952408,15488400
2017-09-18,70.000000,70.500000,67.000000,69.000000,62.053089,25059600
2017-09-19,69.500000,73.000000,69.500000,72.000000,64.751053,42648000
2017-09-20,72.000000,74.500000,70.000000,71.500000,64.301392,32090000
2017-09-21,71.500000,71.500000,71.500000,71.500000,64.301392,0
2017-09-22,71.000000,73.500000,70.500000,72.500000,65.200706,7468000
2017-09-25,73.000000,73.000000,69.500000,71.500000,64.301392,4703600
2017-09-26,71.500000,72.500000,70.500000,70.500000,63.402073,6612000
2017-09-27,70.500000,78.500000,70.000000,77.500000,69.697311,108094800
2017-09-28,77.500000,80.500000,75.000000,79.000000,71.046288,104425200
2017-09-29,79.000000,83.500000,78.500000,82.500000,74.193909,114146400
2017-10-02,81.500000,84.500000,79.500000,80.500000,72.395271,69194000
2017-10-03,80.500000,82.500000,80.500000,82.000000,73.744255,68035600
2017-10-04,82.000000,86.000000,81.500000,84.500000,75.992554,74817200
2017-10-05,84.500000,86.000000,82.000000,83.500000,75.093239,53718400
2017-10-06,83.500000,84.500000,83.000000,83.000000,74.643578,29067600
2017-10-09,82.500000,84.500000,77.500000,79.000000,71.046288,42241200
2017-10-10,79.500000,81.000000,77.500000,80.000000,71.945610,41263600
2017-10-11,80.000000,81.500000,78.500000,79.000000,71.046288,22724000
2017-10-12,78.500000,81.000000,78.500000,79.000000,71.046288,26342000
2017-10-13,79.500000,79.500000,79.000000,79.000000,71.046288,16522000
2017-10-16,79.000000,80.500000,77.000000,77.000000,69.247650,27490400
2017-10-17,77.000000,79.500000,75.000000,77.000000,69.247650,31212800
2017-10-18,77.000000,78.500000,74.500000,76.500000,68.797989,53606800
2017-10-19,76.500000,78.000000,74.500000,76.500000,68.797989,34178400
2017-10-20,77.000000,78.000000,76.000000,78.000000,70.146973,26054800
2017-10-23,78.000000,79.500000,78.000000,78.000000,70.146973,26050000
2017-10-24,78.500000,79.000000,77.500000,77.500000,69.697311,18742400
2017-10-25,78.500000,79.500000,77.500000,79.500000,71.495964,39604000
2017-10-26,79.500000,80.500000,77.500000,78.000000,70.146973,42612400
2017-10-27,78.000000,78.500000,76.500000,77.000000,69.247650,23971600
